분야,내용
우주,지구의 대기는 우주로 완전히 사라지지 않도록 중력이 붙잡고 있다.
역사,페스트 대유행은 유럽 인구의 약 1/3을 감소시켰다.
동물,하마는 땀이 아닌 붉은 보호액을 분비하여 피부를 보호한다.
음식,아보카도는 과일 중에서도 단백질 함량이 높은 편이다.
기술,가상현실은 치료와 재활 훈련에도 활용되고 있다.
건축,가우디의 사그라다 파밀리아 성당은 아직도 완공되지 않은 건축물이다.
언어,한자는 뜻과 소리를 함께 나타내는 표의문자이다.
음악,영화 '스타워즈'의 음악은 클래식 교향곡 형식을 따르고 있다.
사회,중앙은행은 한 나라의 통화량을 조절하는 기관이다.
철학,실증주의는 과학적 방법을 통해 진리를 검증하려 했다.
과학,인공위성은 궤도에 따라 정지궤도와 저궤도로 나뉜다.
동물,고슴도치는 위험을 느끼면 몸을 둥글게 말아 가시로 방어한다.
음식,미소된장은 일본 전통 음식에서 국물의 기본 재료로 쓰인다.
기상,무지개는 빛의 굴절과 반사로 인해 원형에 가까운 구조를 갖는다.
지리,"나일강은 길이 약 6,650km로 세계에서 가장 긴 강 중 하나이다."
사회학,도시 열섬 현상은 도시의 온도가 주변 지역보다 높아지는 현상이다.
문학,셰익스피어는 '로미오와 줄리엣'을 포함해 약 38편의 희곡을 남겼다.
경제,기축통화는 국제적으로 통용되는 기준 화폐를 의미한다.
동물,개미는 복잡한 사회 구조를 갖고 있으며 여왕개미 중심으로 움직인다.
자연,"활화산은 최근 10,000년 이내 분화 기록이 있는 화산을 말한다."
음악,"마림바는 아프리카에서 유래한 건반 타악기로, 목재 음판을 사용한다."
문화,세계에서 가장 많이 팔린 책은 성경이다.
천문학,태양은 약 46억 년 전에 형성되어 지금도 핵융합을 계속하고 있다.
기술,로봇공학은 자동화 기계 개발을 포함한 융합 학문이다.
의학,백혈구는 면역 방어 기능을 수행하는 주요 세포이다.
역사,세계 2차대전은 1939년 독일의 폴란드 침공으로 시작되었다.
경제학,기회비용은 어떤 선택을 할 때 포기하게 되는 대안을 의미한다.
언어학,일본어의 가타카나는 주로 외래어 표기에 사용된다.
지질학,판 구조론은 지각이 여러 개의 큰 판으로 구성되어 있다는 이론이다.
화학,산과 염기가 만나면 중화 반응을 일으킨다.
건축,프랑스 루브르 박물관의 유리 피라미드는 1989년에 완공되었다.
동물,개구리는 피부를 통해 수분과 산소를 흡수할 수 있다.
종교,가톨릭의 교황은 바티칸 시국의 국가원수이기도 하다.
사회,청년실업률은 경제 정책의 성과를 판단하는 주요 지표 중 하나이다.
철학,유교는 인의예지를 인간의 도리로 강조하였다.
음료,홍차는 찻잎을 완전히 산화시켜 만들어지는 차 종류이다.
기후,열대 우림 기후는 연평균 강수량이 매우 높고 계절 차이가 적다.
수학,피보나치 수열은 자연계의 구조와도 밀접한 관련이 있다.
심리학,색채 심리는 특정 색상이 사람의 감정에 영향을 미친다고 본다.
음악,"클래식 음악은 바로크, 고전, 낭만주의 시기로 나뉜다."
우주,국제우주정거장은 지구 상공 약 400km 궤도를 돈다.
자연,빙하가 후퇴하면서 새로운 지형과 생태계가 형성되기도 한다.
교통,전기자전거는 모터의 보조 동력으로 페달을 밟기 쉽게 해준다.
화학,물은 극성이 강한 분자로 대부분의 용매 역할을 한다.
음식,두유는 콩을 갈아 물에 섞은 식물성 음료이다.
지리,시베리아는 세계에서 가장 넓은 고위도 평원 지역이다.
미술,르네상스는 인체 비례와 원근법을 강조한 미술사조이다.
환경,생태계 파괴는 종 다양성 감소로 이어질 수 있다.
음식,프랑스의 마카롱은 원래 이탈리아에서 유래된 디저트이다.
동물,"북극곰의 피부는 검정색이며, 털은 투명하다."
기술,3D 프린터는 의수·의족 같은 의료 보조기 제작에도 사용된다.
역사,중세 유럽에서는 고양이가 악마의 동물로 여겨져 박해받았다.
기상,라니냐는 해수면 온도가 평년보다 낮아지는 해양 현상이다.
사회,스웨덴은 1975년에 좌측통행에서 우측통행으로 전환했다.
음악,베토벤은 청력을 잃은 이후에도 교향곡 9번을 완성했다.
화학,수소는 우주에서 가장 풍부한 원소이다.
건축,이집트의 피라미드는 천문학적 정렬에 따라 세워졌다.
언어,라틴어는 현대 유럽 언어의 어원 역할을 한다.
경제,유럽연합은 유로화를 사용하는 단일 통화권이다.
생물학,코알라는 하루 20시간 이상 잠을 자며 에너지를 아낀다.
문화,멕시코의 해골 축제는 죽음을 기념하는 전통 행사이다.
지리,인도는 세계에서 가장 인구가 많은 민주주의 국가이다.
천문학,"혜성은 얼음과 먼지로 이루어진 천체로, 태양에 가까워질 때 꼬리가 생긴다."
의학,"항생제는 세균에만 효과가 있으며, 바이러스에는 듣지 않는다."
철학,플라톤은 이데아 세계라는 개념을 통해 본질을 설명했다.
음료,마테차는 남미에서 전통적으로 마시는 카페인 음료이다.
건축,"중국의 만리장성은 길이가 약 21,000km에 달한다."
교통,런던의 이층버스는 세계적인 상징물 중 하나다.
환경,사막화는 인간의 과도한 농업과 벌목으로 가속화된다.
스포츠,스노클링은 물속을 들여다보는 수중 레저 활동이다.
경제학,시장실패는 정부 개입의 주요 근거 중 하나로 여겨진다.
전통,한지 공예는 한국의 전통 종이 예술로 세계적인 주목을 받고 있다.
화학,불꽃놀이 색깔은 금속 이온에 따라 달라진다.
기술,AR 기술은 실시간으로 현실 위에 가상의 정보를 덧씌운다.
자연,용암 동굴은 용암이 흐른 후 내부가 비어 생긴 지형이다.
지질학,"지진파는 P파와 S파로 구분되며, P파가 더 빠르다."
사회,고령사회는 65세 이상 인구가 전체의 20%를 넘는 상태이다.
문화재,앵코르와트는 원래 힌두교 사원이었으나 이후 불교 사원으로 바뀌었다.
음악,오페라는 극적인 요소와 음악이 결합된 종합 예술이다.
건축,"이스탄불의 아야 소피아는 교회에서 모스크, 박물관까지 용도가 바뀌었다."
수학,소수는 1과 자기 자신 외에는 나눌 수 없는 수이다.
철도,일본 신칸센은 1964년 도쿄올림픽을 계기로 개통되었다.
의학,MRI는 자기장을 이용해 신체 내부를 촬영하는 영상 장비이다.
음식,불고기는 얇게 썬 소고기를 양념에 재워 구운 한국 전통 음식이다.
기후,습도가 높을수록 체감온도는 실제보다 더 덥게 느껴진다.
동물,아르마딜로는 위협을 느끼면 몸을 완전히 말아 방어한다.
언어학,"핀란드어는 굴절어이며, 어형 변화가 매우 다양하다."
기술,블록체인은 정보를 분산 저장하여 위·변조를 어렵게 만든다.
환경,플라스틱 미세입자는 수생 생물에게 치명적일 수 있다.
경제,환율은 국가 간 화폐 가치의 비율을 의미한다.
스포츠,올림픽은 고대 그리스에서 제우스를 기리기 위한 제전으로 시작되었다.
문학,톨스토이의 '전쟁과 평화'는 19세기 러시아 사회를 배경으로 한다.
역사,조선시대에는 실학이 등장하며 현실 중심의 학문이 발달했다.
건축,돔 형태는 구조적 안정성과 넓은 내부 공간 확보에 유리하다.
철학,스피노자는 자연과 신을 동일시한 범신론 철학자였다.
우주,달에는 대기가 거의 없어 소리가 전달되지 않는다.
미술,추상화는 대상의 구체적 형상 없이 감정과 개념을 표현한다.
심리학,기대이론은 사람의 동기가 결과의 기대에 따라 달라진다는 이론이다.
의류,기모 원단은 보온성을 높이기 위해 표면에 미세한 털을 만든 것이다.
언어,"아프리카에는 약 2,000개 이상의 언어가 사용되고 있다."
과학,뉴턴의 세 번째 법칙은 작용-반작용의 법칙으로 알려져 있다.
지형,델타 지형은 하천이 바다와 만나는 지점에 형성된다.
심리학,무리 효과는 다수의 행동에 따라 자신의 행동을 결정하는 현상이다.
패션,크롭탑은 상의를 짧게 잘라 배를 드러낸 스타일이다.
음악,사운드트랙은 영화나 드라마에 삽입된 음악을 말한다.
경제학,리카도는 비교우위론을 통해 국제무역의 이점을 설명했다.
철도,지하철은 도시 내 대중교통으로서 이동 시간 단축에 기여한다.
기상,"적란운은 비, 번개, 천둥을 동반하는 강한 구름이다."
스포츠,축구에서 오프사이드는 공격수가 수비수보다 앞서 있을 때 적용된다.
문화,불란서식 크루아상은 오스트리아에서 유래한 페이스트리이다.
건축,독일의 바우하우스는 기능성과 심미성을 조화시킨 현대 건축의 기초가 되었다.
음식,스리라차 소스는 태국에서 유래되어 미국에서 대중화되었다.
역사,르네상스는 중세의 신 중심 사상에서 인간 중심 사상으로의 전환을 의미한다.
언어,스페인어는 전 세계 20개국 이상에서 공식 언어로 사용된다.
과학,온실효과는 지구 대기가 열을 가두어 지표를 따뜻하게 만드는 현상이다.
경제,베블런 효과는 가격이 비쌀수록 더 많이 소비되는 역설적인 현상을 말한다.
음악,사운드웨이브 콘서트는 물리학의 음파 원리를 시각화한 공연이다.
기술,웨어러블 디바이스는 건강 모니터링 및 알림 기능을 제공한다.
기상,이슬은 밤 사이 기온이 이슬점 이하로 떨어질 때 형성된다.
동물,타조는 날지 못하지만 시속 70km로 달릴 수 있다.
우주,"대기권은 고도에 따라 대류권, 성층권, 중간권, 열권 등으로 나뉜다."
사회,국민총행복(GNH)은 GDP보다 삶의 질을 강조한 국가 지표이다.
철학,"실존주의는 인간의 자유와 책임, 고독을 핵심 주제로 다룬다."
지리,네덜란드는 국토의 약 27%가 해수면보다 낮다.
전통,러시아의 전통 인형 마트료시카는 속이 비어 있어 작은 인형을 품고 있다.
음료,에스프레소는 짧은 시간 고압으로 추출한 진한 커피이다.
의학,인슐린은 췌장에서 분비되어 혈당 조절을 담당한다.
문학,카프카의 '변신'은 현대인의 소외감을 상징적으로 표현한 작품이다.
건축,이슬람 사원의 미나렛은 기도 시간을 알리는 탑 역할을 한다.
지형,오아시스는 사막 지대의 물이 솟아나는 장소를 말한다.
음식,치즈는 숙성 방식에 따라 부드러운 브리에서 단단한 파르미지아노까지 다양하다.
기술,양자암호는 해킹이 불가능한 통신을 실현할 기술로 주목받고 있다.
경제학,파레토 법칙은 전체 결과의 80%가 20%의 원인에서 발생한다는 이론이다.
스포츠,크리켓은 영연방 국가에서 인기 있는 배트와 공을 사용하는 경기이다.
음악,전자음악은 아날로그 신디사이저의 발명 이후 본격적으로 발전했다.
사회,로컬푸드는 지역에서 생산된 식재료를 활용하는 소비 방식이다.
자연,오로라는 태양풍 입자가 지구 자기장과 충돌하며 생기는 발광 현상이다.
의류,"기능성 섬유는 땀 흡수, 통풍, 자외선 차단 등의 특성을 갖는다."
기후,사막은 강수량이 연 250mm 이하인 지역을 말한다.
문화,할랄 식품은 이슬람 율법에 따라 도축 및 제조된 음식을 의미한다.
철학,토마스 홉스는 인간을 '만인의 만인에 대한 투쟁 상태'로 보았다.
기상,번개는 대기 중 전하가 방전되면서 발생하는 자연 현상이다.
미술,큐비즘은 피카소와 브라크가 창시한 입체적 시각 표현 기법이다.
지질학,석회암 동굴은 탄산칼슘이 지하수에 녹아 형성된다.
언어학,언어 상대성 이론은 언어가 사고방식에 영향을 준다고 본다.
경제,공급망은 제품이 생산되어 소비자에게 도달하기까지의 전체 흐름을 말한다.
우주,태양계 가장자리에 위치한 오르트 구름은 혜성의 근원지로 추정된다.
의학,심전도는 심장의 전기 신호를 그래프로 기록한 것이다.
건축,현수교는 주탑과 케이블로 하중을 지탱하는 구조이다.
음식,"피클은 오이 외에도 다양한 채소로 만들 수 있으며, 발효 또는 식초에 절인다."
자연,빙하호는 빙하가 녹으면서 형성된 호수이다.
문화재,이집트의 람세스 2세 신전은 아부심벨에 위치한 거대한 석조 건축물이다.
사회,주거복지 정책은 취약 계층에게 안정된 거주 환경을 제공하는 것을 목표로 한다.
스포츠,펜싱은 찌르기 기술을 중심으로 한 유럽 전통 검술 스포츠이다.
음악,레게는 자메이카에서 유래된 리듬감 있는 대중 음악 장르이다.
환경,"대기 오염은 미세먼지, 오존, 아황산가스 등 다양한 오염물질로 구성된다."
기술,드론 택배는 물류 자동화의 미래 기술로 주목받고 있다.
경제학,게임이론은 전략적 상황에서의 최적 선택을 연구하는 이론이다.
동물,알락꼬리여우원숭이는 마다가스카르에서만 서식하는 유대류이다.
음료,라씨는 인도의 전통 요구르트 음료로 식사와 함께 자주 마신다.
건축,중국의 사합원은 안쪽 마당을 중심으로 사방에 건물을 배치한 구조이다.
지리,빙붕은 대륙 빙하가 바다로 흘러들어간 후 형성된 얼음 지대이다.
음식,우메보시는 일본에서 식욕을 돋우는 절인 매실 음식이다.
지리,아라비아 반도는 세계에서 가장 큰 반도이다.
경제,다우존스 산업평균지수는 미국 증시를 대표하는 주가지수 중 하나이다.
문화,플라멩코는 스페인 남부 안달루시아 지역에서 유래한 춤과 음악이다.
기술,디지털 트윈은 현실 세계를 가상으로 복제한 시뮬레이션 기술이다.
동물,"카피바라는 세계에서 가장 큰 설치류로, 수영을 잘한다."
언어,"베트남어는 성조를 사용하는 언어로, 발음의 높낮이에 따라 의미가 달라진다."
우주,"지구는 하루에 한 바퀴 자전하며, 이로 인해 낮과 밤이 생긴다."
건축,이탈리아 피사의 사탑은 연약한 지반 탓에 기울어지게 되었다.
기상,"돌풍은 짧은 시간에 강하게 부는 바람으로, 항공과 해상 운항에 영향을 준다."
의학,"백내장은 수정체가 혼탁해지는 질환으로, 노화와 관련이 깊다."
음악,하프는 줄을 손가락으로 퉁겨 연주하는 고대 악기 중 하나이다.
철학,로크는 인간은 백지상태로 태어난다고 주장한 경험론자였다.
사회,직장 내 괴롭힘 방지법은 노동자의 정신 건강을 보호하기 위해 제정되었다.
지질학,화산재는 대기 중으로 퍼지면 항공 운항에 큰 영향을 줄 수 있다.
스포츠,승마는 인간과 말이 협력하여 장애물을 넘는 경기이다.
기후,"지중해성 기후는 겨울에는 온난하고 습하며, 여름에는 덥고 건조하다."
문학,헤밍웨이는 간결하고 직설적인 문체로 '노인과 바다'를 집필했다.
화학,중화 반응은 산과 염기가 반응하여 물과 염을 생성하는 반응이다.
우주,달의 중력은 지구의 약 1/6에 불과하다.
동물,벌들은 특정 춤을 통해 동료에게 꽃의 위치를 전달한다.
경제학,통화량이 과도하게 증가하면 인플레이션이 발생할 수 있다.
기술,반도체는 전기 전도도를 제어할 수 있어 컴퓨터 칩의 핵심 소재이다.
역사,나폴레옹은 워털루 전투에서 패한 후 세인트헬레나 섬으로 유배되었다.
음료,"복분자는 블랙베리와 비슷한 과일로, 술로도 만들어진다."
자연,만년설은 연중 내내 녹지 않는 고산지대의 눈을 말한다.
교통,모노레일은 한 개의 선로 위를 달리는 열차이다.
철학,헤겔은 변증법을 통해 역사의 발전을 설명했다.
미술,바로크 미술은 극적인 조명과 사실적인 표현으로 특징지어진다.
환경,"지구온난화는 빙하 감소, 해수면 상승, 생태계 변화 등을 유발한다."
언어학,피진어는 서로 다른 언어 사용자 간의 의사소통을 위한 간이언어이다.
의학,혈압은 심장이 수축하거나 이완할 때 혈관에 가해지는 압력을 말한다.
음식,두부는 콩을 갈아 응고시켜 만든 고단백 식품이다.
기상,서리 현상은 기온이 이슬점 아래로 떨어질 때 수증기가 얼어붙으며 발생한다.
기술,사물인터넷(IoT)은 일상기기들을 네트워크로 연결해 데이터 교환이 가능하게 한다.
경제,브랜드 로열티는 소비자가 특정 브랜드를 지속적으로 선호하는 경향이다.
사회학,계층 이동은 사회 구성원이 사회적 지위를 변화시키는 현상이다.
동물,붉은펭귄은 추운 환경에서 체온 유지를 위해 깃털 아래 지방층을 갖고 있다.
지리,안데스 산맥은 남미 대륙을 따라 형성된 세계에서 가장 긴 산맥이다.
문화,모로코의 전통 가옥 리야드는 중앙 정원이 있는 집을 말한다.
기후,열대 계절풍 기후는 뚜렷한 건기와 우기가 존재한다.
스포츠,요가의 아사나는 몸의 유연성과 집중력을 기르기 위한 동작이다.
건축,스페인의 가우디 건축물은 자연과 유기적인 형태를 모티프로 삼는다.
음악,민요는 특정 지역이나 민족의 삶과 감정을 담은 전통 노래이다.
과학,중력 렌즈 효과는 질량이 큰 천체가 주변의 빛을 굴절시키는 현상이다.
기술,클라우드 컴퓨팅은 인터넷을 통해 데이터를 저장하고 처리하는 기술이다.
우주,우주 배경 복사는 빅뱅 이론을 뒷받침하는 증거 중 하나이다.
문학,제인 오스틴의 소설은 여성의 삶과 결혼 문제를 풍자적으로 그렸다.
의학,"체온은 하루 중 시간, 활동, 환경 등에 따라 변동된다."
지형,계곡은 오랜 시간 침식 작용에 의해 형성된 협곡 지형이다.
건축,아즈텍 문명은 피라미드형 신전을 계단식으로 쌓아 올렸다.
우주,태양의 흑점은 태양 표면보다 온도가 낮아 어둡게 보인다.
음식,김밥은 일본의 스시와 달리 간장 대신 참기름과 소금으로 간을 한다.
역사,잔다르크는 백년전쟁 당시 프랑스를 위해 싸운 17세 소녀였다.
기술,증강현실은 현실 세계 위에 디지털 정보를 덧씌우는 기술이다.
경제,소득분위는 국민을 소득 순으로 10등분한 통계 지표이다.
사회,혼밥족은 혼자 밥을 먹는 사람이 증가하는 현대 사회 현상을 반영한다.
음악,보사노바는 브라질에서 시작된 부드러운 리듬의 음악 장르이다.
지리,아마존강은 남미 대륙을 가로지르며 열대 우림의 생명줄 역할을 한다.
언어,에스페란토는 인공어로 국제 공용어를 목표로 만들어졌다.
문화,나이지리아에는 500개가 넘는 민족과 언어가 공존한다.
기상,"해무는 해수면 위에 형성된 안개로, 항공·선박 운항에 영향을 준다."
동물,수컷 해마는 알을 품고 새끼를 낳는 독특한 번식 방식을 가진다.
철학,공리주의는 최대 다수의 최대 행복을 윤리 기준으로 본다.
의학,"심부체온은 몸의 핵심 장기의 온도로, 체온 조절의 기준이 된다."
패션,한복은 직선 위주의 구성으로 여백의 미를 표현한다.
스포츠,컬링은 전략과 정밀한 조절이 요구되는 겨울 스포츠이다.
환경,녹조는 영양분이 많은 물에서 조류가 과도하게 증식하는 현상이다.
문학,괴벨은 독일 표현주의 문학에서 주목받은 작가 중 한 명이다.
경제학,가격탄력성은 가격 변화에 따른 수요량의 변화를 측정하는 지표이다.
자연,사바나 지대는 건기와 우기가 뚜렷한 열대 초원 지역이다.
음식,"라멘은 일본식 국수 요리로, 다양한 육수와 토핑이 특징이다."
기술,GPS는 최소 4개의 위성 신호를 기반으로 위치를 계산한다.
동물,아홀로틀은 평생 유생 형태로 살아가는 멕시코 도롱뇽이다.
지질학,변성암은 열과 압력으로 기존 암석이 재구성된 암석이다.
우주,화성에는 극지방에 드라이아이스로 이루어진 극관이 존재한다.
기후,엘니뇨 현상은 전 지구적 기온·강수량 변화를 초래할 수 있다.
언어학,형태소는 더 이상 분해할 수 없는 최소 의미 단위이다.
사회학,모계사회는 혈통과 상속이 어머니를 중심으로 이루어진다.
음악,리듬 앤 블루스는 흑인 음악에서 발전한 감성적인 장르이다.
전통,이탈리아의 카니발은 화려한 가면과 퍼레이드로 유명하다.
화학,할로겐 원소는 17족에 속하며 반응성이 매우 크다.
건축,이집트의 오벨리스크는 종교적 상징을 새긴 거대한 돌기둥이다.
음료,타피오카 펄은 캐사바에서 추출한 전분으로 만들어진다.
철학,칸트는 선의지와 의무를 도덕의 근간으로 보았다.
기상,"태풍은 북서태평양, 허리케인은 대서양에서 발생하는 같은 계열의 기상 현상이다."
문화재,앙코르 톰은 캄보디아 크메르 제국의 수도 유적으로 유명하다.
역사,청일전쟁은 한반도를 둘러싼 청나라와 일본 간의 갈등에서 시작되었다.
음식,"마카로니는 짧은 관 모양의 파스타로, 미국에서는 치즈와 함께 자주 먹는다."
기술,LED는 발광다이오드를 이용한 고효율 광원이다.
의학,백혈구 중 호중구는 가장 많은 수를 차지하며 세균 방어에 중요하다.
지형,"호수는 강보다 유속이 느리고, 주변 기후에 큰 영향을 준다."
우주,지구 대기권 밖에서는 물이 액체 상태로 존재할 수 없다.
경제,벤처기업은 혁신적인 기술과 아이디어를 바탕으로 성장하는 기업이다.
음악,클래식 기타는 나일론 줄을 사용하여 부드러운 소리를 낸다.
건축,로마네스크 양식은 두꺼운 벽과 작은 창이 특징이다.
스포츠,핸드볼은 두 팀이 손으로 공을 던져 득점하는 경기이다.
사회,MZ세대는 디지털 환경에 익숙한 밀레니얼+Z세대를 합친 용어이다.
기후,지구의 적도 지역은 연중 일사량이 거의 일정하다.
